Species,F111-025_reads,F111-2550_reads,F111-5075_reads,F111-75100_reads,F112-025_reads,F112-2550_reads,F112-5075_reads,F112-75100_reads,F121-025_reads,F121-2550_reads,F121-5075_reads,F121-75100_reads,F122-025_reads,F122-2550_reads,F122-5075_reads,F122-75100_reads,F211-025_reads,F211-2550_reads,F211-5075_reads,F211-75100_reads,F212-025_reads,F212-2550_reads,F212-5075_reads,F212-75100_reads,F221-025_reads,F221-2550_reads,F221-5075_reads,F221-75100_reads,F222-025_reads,F222-2550_reads,F222-5075_reads,F222-75100_reads,F311-025_reads,F311-2550_reads,F311-5075_reads,F311-75100_reads,F312-025_reads,F312-2550_reads,F312-5075_reads,F312-75100_reads,F321-025_reads,F321-2550_reads,F321-5075_reads,F321-75100_reads,F322-025_reads,F322-2550_reads,F322-5075_reads,F322-75100_reads,F411-025_reads,F411-2550_reads,F411-5075_reads,F411-75100_reads,F412-025_reads,F412-2550_reads,F412-5075_reads,F412-75100_reads,F421-025_reads,F421-2550_reads,F421-5075_reads,F421-75100_reads,F422-025_reads,F422-2550_reads,F422-5075_reads,F422-75100_reads
Trichuris skrjabini (HQ204211) COX1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0
Aphelenchus sp. (N12019) COX1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panagrellus redivivus (KM192364) COX1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acrobeloides nanus (KX669639) COX1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diploscapter coronatus (LC213018) COX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhabditidoides rigina (nema51) COX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Demaniella sp. (nema38) COX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Steinernema diaprepesi (nema72) COX1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meloidogyne hapla (KU517171) COX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Meloidogyne hapla (P179054) COX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meloidogyne hapla (N318) COX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
